# Turn,  Tree X, Tree Y, State
3,1133,593,1
3,1136,591,1
3,1137,591,1
3,1129,595,1
3,1129,598,1
3,1129,601,1
3,1130,600,1
3,1132,595,1
3,1131,602,1
3,1133,594,1
3,1136,589,1
3,1136,590,1
3,1138,588,1
3,1138,587,1
3,1138,589,1
3,1139,587,1
3,1140,587,1
3,1140,589,1
3,1141,589,1
3,1139,588,1
3,1141,588,1
3,1142,589,1
3,1139,589,1
3,1137,587,1
3,1137,589,1
3,1143,587,1
3,1143,588,1
3,1140,588,1
3,1142,588,1
3,1142,592,2
3,1143,590,1
3,1145,590,1
3,1143,589,1
3,1144,589,1
3,1145,589,1
3,1146,590,1
3,1146,589,1
3,1139,605,1
3,1148,599,1
3,1149,597,1
3,1138,603,1
3,1147,591,1
3,1148,593,1
3,1140,606,1
3,1144,601,1
3,1143,604,1
3,1145,603,1
3,1147,598,1
3,1149,598,1
3,1149,599,1
3,1149,601,1
3,1143,603,1
3,1149,593,1
3,1150,597,1
3,1147,588,1
3,1145,588,1
3,1147,592,1
3,1148,588,1
3,1148,590,1
3,1149,590,1
3,1150,591,1
3,1149,594,1
3,1129,594,1
3,1131,599,1
3,1134,594,1
3,1129,599,1
3,1130,601,1
3,1130,603,1
3,1144,603,1
3,1144,604,1
3,1137,590,1
3,1130,592,1
3,1130,595,1
3,1131,596,1
3,1132,591,1
3,1132,593,1
3,1134,591,1
3,1134,593,1
3,1134,592,1
4,1142,604,1
4,1141,594,2
4,1146,600,1
4,1135,598,2
4,1142,598,2
4,1140,599,2
4,1132,605,1
4,1136,605,1
4,1135,608,1
4,1137,607,1
4,1133,592,1
4,1132,598,2
4,1129,596,1
4,1130,597,1
4,1132,602,1
4,1134,599,2
4,1135,591,2
4,1135,590,1
4,1137,588,1
4,1144,588,1
4,1145,587,1
4,1146,588,1
4,1136,597,2
4,1139,606,1
4,1145,604,1
4,1145,602,1
4,1144,602,1
4,1148,600,1
4,1150,595,1
4,1150,598,1
4,1144,591,2
4,1150,590,1
4,1130,598,1
4,1129,603,1
4,1130,596,1
4,1130,602,1
